English,Hindi,HinEnglish,Marathi,MarathiEnglish,Tamil,TamilEnglish,Japanese,Romanization
"I found a peaceful spot to meditate by the river.","मैंने नदी के किनारे ध्यान करने के लिए एक शांत जगह पाई।","Maine nadi ke kinare dhyan karne ke liye ek shaant jagah pai.","मी नदीकाठी ध्यान करण्यासाठी एक शांत ठिकाण सापडले.","Mee nadikathi dhyan karnyasathi ek shant thikan sapadle.","நான் நதியின் அருகே தியானிக்க ஒரு அமைதியான இடத்தை கண்டுபிடித்தேன்.","Naan nathiyin aruge dhyanikka oru amaithiyana idathai kandupidiththen.","川のそばで瞑想するための静かな場所を見つけました。","Kawa no soba de meisou suru tame no shizuka na basho wo mitsukemashita."
"The journey began early in the morning with excitement.","यात्रा सुबह जल्दी उत्साह के साथ शुरू हुई।","Yatra subah jaldi utsah ke saath shuru hui.","प्रवास सकाळी उत्साहाने सुरू झाला.","Pravas sakali utsahane suru jhala.","பயணம் காலையில் உற்சாகத்துடன் துவங்கியது.","Payanam kaalail urchaagathudan thuvangiyathu.","旅は朝早くに興奮して始まりました。","Tabi wa asa hayaku ni koufun shite hajimarimashita."
"We visited a small village famous for its handmade crafts.","हम एक छोटे गांव गए जो अपने हस्तशिल्पों के लिए प्रसिद्ध था।","Hum ek chhote gaon gaye jo apne hastashilpon ke liye prasiddh tha.","आम्ही एका लहान गावाला भेट दिली जे हस्तकलेसाठी प्रसिद्ध आहे.","Aamhi eka lahan gavaala bhet dili je hastkalesathi prasiddh aahe.","நாம் கைமுறையால் செய்யப்பட்ட கலைகளுக்குப் புகழ்பெற்ற சிறிய கிராமத்திற்கு சென்றோம்.","Naam kaimuraiyaal seidha kalaigalukku pugazhpetra siriya graamaththirkku sendrom.","Watashitachi wa tezukuri kougeihin de yuumei na chiisana mura wo otozuremashita.","Watashitachi wa tezukuri kougeihin de yuumei na chiisana mura wo otozuremashita."
"The local food was delicious and spicy.","स्थानीय भोजन स्वादिष्ट और मसालेदार था।","Sthaniya bhojan swadisht aur masaledar tha.","स्थानिक जेवण स्वादिष्ट आणि मसालेदार होते.","Sthanik jevan swadisht ani masaledar hote.","உள்ளூர் உணவு சுவையானதும் காரமுள்ளதுமானதாக இருந்தது.","Ulloor unavu suvaiyanadum kaaramulladumanaaga irundhathu.","地元の料理は美味しくてスパイシーでした。","Jimoto no ryouri wa oishikute supaishii deshita."
"We took a boat ride across the calm lake.","हमने शांत झील के पार नाव की सवारी की।","Humne shaant jheel ke paar naav ki sawaari ki.","आम्ही शांत तलावाच्या पलीकडे बोटीने प्रवास केला.","Aamhi shaant talaavachya palikade botine pravas kela.","நாம் அமைதியான ஏரியைத் தாண்டி படகில் சவாரி செய்தோம்.","Naam amaidhiyana eeriyai thaandi padagil savaari seidom.","私たちは静かな湖をボートで渡りました。","Watashitachi wa shizukana mizuumi wo booto de watarimashita."
"The sunset painted the sky with shades of orange and pink.","सूर्यास्त ने आकाश को नारंगी और गुलाबी रंगों से रंगा।","Suryast ne aakash ko narangi aur gulabi rangon se rangea.","सूर्यास्ताने आकाश केशरी आणि गुलाबी रंगांनी रंगवले.","Suryastane aakash keshari ani gulabi rangani rangwale.","சூரியாஸ்தமனம் ஆறுகடலை ஆரஞ்சு மற்றும் பிங்க் நிறங்களால் வரைந்தது.","Sooriyaasthanam aarakadalai aaranju matrum pink nirangalaal varaindhathu.","夕日は空をオレンジ色とピンク色に染めました。","Yuuhi wa sora wo orenji iro to pinku iro ni somemashita."
"I met a traveler who told amazing stories about distant lands.","मैं एक यात्री से मिला जिसने दूर देशों के बारे में अद्भुत कहानियाँ बताईं।","Main ek yatri se mila jisne door deshon ke baare mein adbhut kahaniyan batain.","मी एका प्रवाशाला भेटलो ज्याने दूरच्या देशांबद्दल अप्रतिम गोष्टी सांगितल्या.","Mee eka pravasala bhetlo jyane doorchya deshambaddal apratim gosthi sangitlya.","நான் ஒரு பயணியரை சந்தித்தேன், அவன் தொலைவிலுள்ள நாடுகள் பற்றிய அற்புதமான கதைகளை சொன்னான்.","Naan oru payaniyarai sandhitthen, avan tholaivillulla nadugal patriya arputhamana kathaigalai sonnaan.","遠い国々について素晴らしい話をしてくれた旅行者に会いました。","Tooi kuniguni ni tsuite subarashii hanashi wo shitekureta ryokousha ni aimashita."
"The mountain air was fresh and invigorating.","पहाड़ की हवा ताजी और उत्साहजनक थी।","Pahaad ki hawa taji aur utsahjanak thi.","डोंगराची हवा ताजी आणि उत्साहवर्धक होती.","Dongrachi hava taji ani utsahvardhak hoti.","மலைக் காற்று புதியதும் உயிர்வரப்பதாகவும் இருந்தது.","Malaik kaatru puthiyaadum uyirvarappadhagavum irundhathu.","山の空気は新鮮で活力を与えました。","Yama no kuuki wa shinsen de katsuryoku wo ataemashita."
"We stayed at a cozy inn surrounded by nature.","हम प्रकृति से घिरे एक आरामदायक सराय में रुके।","Hum prakriti se ghire ek aaramdayak sarai mein ruke.","आम्ही निसर्गाने वेढलेल्या आरामदायक सराईत राहिलो.","Aamhi nisargane vedhalelya aaramdayak saraait rahilo.","நாம் இயற்கையால் சூழப்பட்ட ஒரு சௌகரியமான இனில் தங்கினோம்.","Naam iyarkaiyaal soozhapatta oru soukariya maana inil thanginom.","自然に囲まれた居心地の良い宿に泊まりました。","Shizen ni kakomareta igokochi no yoi yado ni tomarimashita."
"The city lights glittered as night fell.","रात के गिरने पर शहर की रोशनी चमकने लगी।","Raat ke girne par shahar ki roshni chamakne lagi.","रात पडताच शहराच्या दिव्यांनी चमकायला लागले.","Raat padtach shaharachya divyani chamkayela lagle.","இரவு நேரம் நகரின் விளக்குகள் மின்னின.","Iravu neram nagarin vilakkugal minnin.","夜になると街の明かりが輝きました。","Yoru ni naru to machi no akari ga kagayakimashita."
"We explored ancient ruins hidden in the jungle.","हमने जंगल में छुपे प्राचीन खंडहरों की खोज की।","Humne jungle mein chhupe prachin khandharon ki khoj ki.","आम्ही जंगलात लपलेले प्राचीन अवशेष शोधले.","Aamhi janglaat lapalele prachin avshesh shodhle.","நாங்கள் காடுகளில் மறைந்த பழங்கால மழுகல்களை ஆய்வு செய்தோம்.","Naangal kaadugalil marainda pazhangaala mazhugalkalai aayvu seidom.","私たちはジャングルに隠れた古代の遺跡を探検しました。","Watashitachi wa janguru ni kakureta kodai no iseki wo tanken shimashita."
"The road trip gave us unforgettable memories.","रोड ट्रिप ने हमें अविस्मरणीय यादें दीं।","Road trip ne humein avismaraniya yaadein di.","रोड ट्रिपने आम्हाला अविस्मरणीय आठवणी दिल्या.","Road trip ne aamhaala avismaraniya aathvani dilya.","சாலை பயணம் நமக்கு மறக்க முடியாத நினைவுகளை கொடுத்தது.","Saalaip payanam namakku marakka mudiyada ninaivugalai koduthathu.","ロードトリップは忘れられない思い出をくれました。","Roodo torippu wa wasurerarenai omoide wo kuremashita."
Hello,नमस्ते,Namaste,नमस्कार,Namaskār,வணக்கம்,Vanakkam,こんにちは,Konnichiwa
Hey,अरे,Are,अरे,Are,ஹே,Hey,やあ,Yā
Thank you,धन्यवाद,Dhanyavaad,धन्यवाद,Dhanyavaad,நன்றி,Nandri,ありがとう,Arigatou
Yes,हाँ,Haan,होय,Hoy,ஆம்,Aam,はい,Hai
No,नहीं,Nahin,नाही,Nahi,இல்லை,Illai,いいえ,Iie
Please,कृपया,Kripya,कृपया,Kripaya,தயவுசெய்து,Thayavu Seithu,お願いします,Onegaishimasu
Sorry,माफ़ कीजिए,Maaf kijiye,माफ करा,Maaf kara,மன்னிக்கவும்,Mannikkavum,ごめんなさい,Gomennasai
Good morning,सुप्रभात,Suprabhaat,शुभ सकाळ,Shubh sakal,காலை வணக்கம்,Kaalaivanaakkam,おはようございます,Ohayou gozaimasu
Good night,शुभ रात्रि,Shubh Raatri,शुभ रात्री,Shubh Ratri,இனிய இரவு,Iniya iravu,おやすみなさい,Oyasuminasai
Goodbye,अलविदा,Alvida,निरोप,Niroop,பிரியாவிடை,Priyavidai,さようなら,Sayounara
Welcome,स्वागत है,Swagat hai,स्वागत आहे,Swagat aahe,வரவேற்கிறேன்,Varaverkiren,ようこそ,Youkoso
What,क्या,Kya,काय,Kaay,என்ன,Enna,何,Nani
When,कब,Kab,केव्हा,Kevha,எப்போது,Eppodhu,いつ,Itsu
Where,कहाँ,Kahan,कोठे,Kothe,எங்கே,Enge,どこ,Doko
Why,क्यों,Kyon,का,Kā,ஏன்,Yen,なぜ,Naze
How,कैसे,Kaise,कसे,Kase,எப்படி,Eppadi,どうやって,Douyatte
Who,कौन,Kaun,कोण,Koni,யார்,Yaar,誰,Dare
Friend,दोस्त,Dost,मित्र,Mitra,நண்பன்,Nanban,友達,Tomodachi
Love,प्यार,Pyaar,प्रेम,Prem,காதல்,Kaadhal,愛,Ai
Help,मदद,Madad,मदत,Madat,உதவி,Udhavi,助けて,Tasukete
that,कि,Ki,कि,Ki,அது,Athu,それ,Sore
have,है,Hai,आहे,Ahe,உள்ளது,Uḷḷadu,持っている,Motte iru
I,मैं,Main,मी,Mi,நான்,Naan,私,Watashi
it,यह,Yeh,हे,He,இது,Ithu,それ,Sore
for,के लिए,Ke liye,साठी,Sāṭhī,கே,Ke,ために,Tameni
not,नहीं,Nahin,नाही,Nāhī,இல்லை,Illai,ない,Nai
on,पर,Par,वर,Var,மீது,Mīdhū,上に,Ue ni
with,के साथ,Ke saath,सोबत,Sobat,உடன்,Udan,と共に,To tomoni
he,वह,Wo,तो,To,அவன்,Avan,彼,Kare
as,जैसा,Jaisa,प्रमाणे,Pramāṇe,போல,Pōla,ように,Yō ni
you,तुम,Tum,तू,Tū,நீ,Nī,あなた,Anata
do,करना,Karṇā,कर,Kara,செய்,Sei,する,Suru
at,पर,Par,वर,Var,இல்,Il,で,De
this,यह,Yeh,हे,He,இது,Ithu,これ,Kore
but,लेकिन,Lekin,परंतु,Paraṇṭu,ஆனால்,Aanal,しかし,Shikashi
his,उसका,Uska,त्याचा,Tyāchā,அவன்,Avaṉ,彼の,Kare no
by,द्वारा,Dvāra,द्वारे,Dvārē,மூலம்,Mūlam,によって,Niyotte
from,से,Se,पासून,Pāsūna,இருந்து,Irunthu,から,Kara
they,वे,Ve,ते,Te,அவர்கள்,Avarkaḷ,彼ら,Karera
we,हम,Ham,आपण,Āpaṇa,நாங்கள்,Nāṅkaḷ,私たち,Watashitachi
I,मैं,Main,मी,Mi,நான்,Naan,私,Watashi
You,तुम/आप,Tum/Aap,तू/तुम्ही,Tu/Tumhi,நீ/நீங்கள்,Nee/Neengal,あなた,Anata
He/She,वह,Wah,तो/ती,To/Ti,அவன்/அவள்,Avan/Aval,彼/彼女,Kare/Kanojo
We,हम,Hum,आम्ही,Aamhi,நாங்கள்,Naangal,私たち,Watashitachi
They,वे,Ve,ते/त्या,Te/Tya,அவர்கள்,Avargal,彼ら/彼女ら,Karera/Kanojo-ra
This,यह,Yah,हे/ह्या,He/Hya,இது,Idhu,これ,Kore
That,वह,Wah,ते/त्या,Te/Tya,அது,Adhu,それ,Sore
What,क्या,Kya,काय,Kay,என்ன,Enna,何,Nani
Where,कहाँ,Kahan,कुठे,Kuthe,எங்கே,Enge,どこ,Doko
When,कब,Kab,केव्हा,Kevha,எப்போது,Eppodhu,いつ,Itsu
Why,क्यों,Kyon,का,Ka,ஏன்,En,なぜ,Naze
How,कैसे,Kaise,कसे,Kase,எப்படி,Eppadi,どう,Dou
Good,अच्छा,Achha,चांगला,Changla,நல்லது,Nalladhu,良い,Yoi
Bad,बुरा,Bura,वाईट,Vait,கெட்டது,Kettadhu,悪い,Warui
Big,बड़ा,Bada,मोठा,Motha,பெரிய,Periya,大きい,Ookii
Small,छोटा,Chhota,लहान,Lahan,சிறிய,Siriya,小さい,Chiisai
Hot,गर्म,Garam,गरम,Garam,சூடான,Soodaana,熱い,Atsui
Cold,ठंडा,Thanda,थंड,Thand,குளிர்,Kulir,寒い,Samui
New,नया,Naya,नवीन,Navin,புதிய,Puthiya,新しい,Atarashii
Old,पुराना,Purana,जुना,Juna,பழைய,Pazhaiya,古い,Furui
Happy,खुश,Khush,आनंदी,Aanandi,மகிழ்ச்சி,Magizhchi,幸せ,Shiawase
Sad,दुखी,Dukhi,दुःखी,Dukhi,துக்கம்,Thukkam,悲しい,Kanashii
Beautiful,सुंदर,Sundar,सुंदर,Sundar,அழகான,Azhagana,美しい,Utsukushii
Ugly,बदसूरत,Badsoorat,कुरूप,Kuroop,அசிங்கமான,Asingamana,醜い,Minikui
Eat,खाना,Khaana,खाणे,Khane,சாப்பிடு,Saappidu,食べる,Taberu
Drink,पीना,Peena,पिणे,Pine,குடி,Kudi,飲む,Nomu
Sleep,सोना,Sona,झोपणे,Zhopne,தூங்கு,Thoongu,寝る,Neru
Walk,चलना,Chalna,चालणे,Chaalne,நட,Nada,歩く,Aruku
Run,दौड़ना,Daudna,पळणे,Palne,ஓடு,Odu,走る,Hashiru
Read,पढ़ना,Padhna,वाचणे,Vachane,படி,Padi,読む,Yomu
Write,लिखना,Likhna,लिहिणे,Lihine,எழுது,Ezhudhu,書く,Kaku
Listen,सुनना,Sunna,ऐकणे,Aikne,கேள்,Kel,聞く,Kiku
Talk,बात करना,Baat karna,बोलणे,Bolne,பேசு,Pesu,話す,Hanasu
Look,देखना,Dekhna,पाहणे,Pahane,பார்,Paar,見る,Miru
Go,जाना,Jana,जाणे,Jane,போ,Po,行く,Iku
Come,आना,Aana,येणे,Yene,வா,Vaa,来る,Kuru
Give,देना,Dena,देणे,Dene,கொடு,Kodu,与える,Ataeru
Take,लेना,Lena,घेणे,Ghene,எடுத்துக்கொள்,Eduthukkoll,取る,Toru
Like,पसंद करना,Pasand karna,आवडणे,Aavadne,பிடிக்கும்,Pidikkum,好き,Suki
Love,प्यार करना,Pyaar karna,प्रेम करणे,Prem karne,காதல்,Kathal,愛,Ai
Hate,नफ़रत करना,Nafrat karna,तिरस्कार करणे,Tiraskar karne,வெறுப்பு,Veruppu,嫌い,Kirai
House,घर,Ghar,घर,Ghar,வீடு,Veedu,家,Ie
Water,पानी,Paani,पाणी,Pani,தண்ணீர்,Thanneer,水,Mizu
Food,खाना,Khaana,अन्न,Anna,உணவு,Unavu,食べ物,Tabemono
Money,पैसा,Paisa,पैसे,Paise,பணம்,Panam,お金,Okane
Time,समय,Samay,वेळ,Vel,நேரம்,Neram,時間,Jikan
Day,दिन,Din,दिवस,Divas,நாள்,Naal,日,Hi
Night,रात,Raat,रात्र,Ratra,இரவு,Iravu,夜,Yoru
Morning,सुबह,Subah,सकाळ,Sakal,காலை,Kaalai,朝,Asa
Evening,शाम,Shaam,संध्याकाळ,Sandhyakal,மாலை,Maalai,晩/夕方,Ban/Yuugata
Book,किताब,Kitaab,पुस्तक,Pustak,புத்தகம்,Puththagam,本,Hon
Pen,कलम,Kalam,पेन,Pen,பேனா,Pena,ペン,Pen
Car,गाड़ी,Gaadi,गाडी,Gaadi,கார்,Kaar,車,Kuruma
Road,सड़क,Sadak,रस्ता,Rasta,சாலை,Saalai,道,Michi
Sun,सूरज,Suraj,सूर्य,Surya,சூரியன்,Sooriyan,太陽,Taiyou
Moon,चाँद,Chand,चंद्र,Chandra,சந்திரன்,Chandiran,月,Tsuki
Sky,आसमान,Aasmaan,आकाश,Aakash,வானம்,Vaanam,空,Sora
Stars,तारे,Taare,तारे,Taare,நட்சத்திரங்கள்,Natchathirangal,星,Hoshi
Earth,पृथ्वी,Prithvi,पृथ्वी,Prithvi,பூமி,Bhoomi,地球,Chikyuu
Today,आज,Aaj,आज,Aaj,இன்று,Indru,今日,Kyō
Tomorrow,कल,Kal,उद्या,Udya,நாளை,Naalai,明日,Ashita
Yesterday,कल,Kal,काल,Kal,நேற்று,Netru,昨日,Kinō
Day,दिन,Din,दिवस,Divas,நாள்,Naal,日,Hi
Week,हफ़्ता,Hafta,आठवडा,Aathvada,வாரம்,Vaaram,週,Shū
Month,महीना,Mahina,महिना,Mahina,மாதம்,Maatham,月,Tsuki
Year,साल,Saal,वर्ष,Varsh,ஆண்டு,Aandu,年,Nen
Morning,सुबह,Subah,सकाळ,Sakal,காலை,Kaalai,朝,Asa
Afternoon,दोपहर,Dopahar,दुपार,Dupar,மதியம்,Mathiyam,午後,Gogo
Evening,शाम,Shaam,संध्याकाळ,Sandhyakal,மாலை,Maalai,夕方,Yūgata
Night,रात,Raat,रात्र,Ratra,இரவு,Iravu,夜,Yoru
Now,अभी,Abhi,आता,Aata,இப்போது,Ippodhu,今,Ima
Later,बाद में,Baad mein,नंतर,Nantar,பிறகு,Piragu,後で,Ato de
Before,पहले,Pehle,आधी,Aadhi,முன்பு,Munbu,前に,Mae ni
Every day,हर दिन,Har din,रोज,Roj,தினமும்,Dhinamum,毎日,Mainichi
Last week,पिछले हफ़्ते,Pichle hafte,मागील आठवड्यात,Maagil aathvadyat,கடந்த வாரம்,Kadantha vaaram,先週,Senshū
Next week,अगले हफ़्ते,Agle hafte,पुढच्या आठवड्यात,Pudchya aathvadyat,அடுத்த வாரம்,Adutha vaaram,来週,Raishū
Last month,पिछले महीने,Pichle mahine,मागील महिन्यात,Maagil mahinyat,கடந்த மாதம்,Kadantha maatham,先月,Sengetsu
Next month,अगले महीने,Agle mahine,पुढच्या महिन्यात,Pudchya mahinyat,அடுத்த மாதம்,Adutha maatham,来月,Raigetsu
Last year,पिछले साल,Pichle saal,गेल्या वर्षी,Gelya varshi,கடந்த ஆண்டு,Kadantha aandu,去年,Kyonen
Next year,अगले साल,Agle saal,पुढच्या वर्षी,Pudchya varshi,அடுத்த ஆண்டு,Adutha aandu,来年,Rainen
Sir,सर,Sir,साहेब,Saheb,ஐயா,Ayya,様,Sama
Madam,मैडम,Madam,बाई,Bai,அம்மா,Amma,様,Sama
Please,कृपया,Kripya,कृपया,Krupaya,தயவுசெய்து,Thayavuseithu,お願いします,Onegaishimasu
Thank you,धन्यवाद,Dhanyavaad,धन्यवाद,Dhanyavad,நன்றி,Nandri,ありがとうございます,Arigatou gozaimasu
You are welcome,आपका स्वागत है,Aapka swagat hai,आपले स्वागत आहे,Aaple swagat aahe,வரவேற்கிறோம்,Varavetkirom,どういたしまして,Dou itashimashite
Excuse me,माफ़ कीजिए,Maaf keejiye,माफ करा,Maaf kara,மன்னிக்கவும்,Mannikavum,すみません,Sumimasen
I am sorry,मुझे माफ़ करना,Mujhe maaf karna,मला माफ करा,Mala maaf kara,மன்னிக்கவும்,Mannikavum,申し訳ございません,Moushiwake gozaimasen
Could you help me?,क्या आप मेरी मदद कर सकते हैं?,Kya aap meri madad kar sakte hain?,तुम्ही मला मदत करू शकता का?,Tumhi mala madat karu shakta ka?,நீங்கள் எனக்கு உதவ முடியுமா?,Neengal enakku uthavu mudiyuma?,手伝っていただけますか,Tetsudatte itadakemasu ka?
May I come in?,क्या मैं अंदर आ सकता हूँ?,Kya main andar aa sakta hoon?,मी आत येऊ शकतो का?,Mi aat yeu shakto ka?,நான் உள்ளே வரலாமா?,Naan ullay varalama?,入ってもよろしいですか,Haitte mo yoroshii desu ka?
It's a pleasure to meet you,आपसे मिलकर खुशी हुई,Aapse milkar khushi hui,तुम्हाला भेटून आनंद झाला,Tumhala bhetun aanand zaala,உங்களைச் சந்திப்பதில் மகிழ்ச்சி,Ungalai sandhippathil magizhchi,お会いできて嬉しいです,O-ai dekite ureshii desu
How can I assist you?,मैं आपकी कैसे मदद कर सकता हूँ?,Main aapki kaise madad kar sakta hoon?,मी तुम्हाला कशी मदत करू शकेन?,Mi tumhala kashi madat karu shaken?,நான் உங்களுக்கு எப்படி உதவ முடியும்?,Naan ungalukku eppadi uthavu mudiyum?,何かお手伝いできることはありますか,Nani ka otetsudai dekiru koto wa arimasu ka?
Yes, sir/madam,हाँ, सर/मैडम,Haan, sir/madam,होय, सर/मॅडम,Hoy, sir/madam,ஆம், ஐயா/அம்மா,Aam, ayya/amma,はい、さようでございます,Hai, sayou de gozaimasu
I would be grateful,मैं आभारी रहूँगा,Main aabhari rahoonga,मी आभारी असेन,Mi aabhari asen,நான் நன்றியுடையவனாக இருப்பேன்,Naan nandriyudaiyavanaga iruppen,感謝いたします,Kansha itashimasu
Please take a seat,कृपया बैठिए,Kripya baithiye,कृपया बसा,Krupaya basa,தயவுசெய்து உட்காருங்கள்,Thayavuseithu utkaarangal,どうぞおかけください,Douzo okake kudasai
Could you please repeat that?,क्या आप कृपया दोहरा सकते हैं?,Kya aap kripya dohra sakte hain?,तुम्ही कृपया पुन्हा सांगू शकता का?,Tumhi krupaya punha sangu shakta ka?,தயவுசெய்து அதை மீண்டும் கூற முடியுமா?,Thayavuseithu athai meendum koora mudiyuma?,もう一度お願いします,Mou ichido onegaishimasu
I apologize for the inconvenience,असुविधा के लिए क्षमा चाहता हूँ,Asuvidha ke liye kshama chahta hoon,गैरसोयीबद्दल क्षमस्व,Gairsoyibaddal kshamasva,சிரமத்திற்கு மன்னிக்கவும்,Siramathirkku mannikkavum,ご不便をおかけして申し訳ございません,Gofuben o okakeshite moushiwake gozaimasen
It's a pleasure,यह खुशी की बात है,Yah khushi ki baat hai,ही आनंदाची गोष्ट आहे,Hi aanandachi goshta aahe,இது ஒரு மகிழ்ச்சி,Idhu oru magizhchi,喜んで,Yorokonde
With all due respect,मैं सम्मानपूर्वक कहता हूँ,Main sammanpurvak kahta hoon,सर्व आदराने,Sarv aadarane,முழு மரியாதையுடன்,Muzhu mariyathaiyudan,失礼ながら,Shitsureinagara
Is that acceptable?,क्या यह स्वीकार्य है?,Kya yah sweekarya hai?,ते स्वीकार्य आहे का?,Te svikarya aahe ka?,அது ஏற்றுக்கொள்ளத்தக்கதா?,Adhu ettrukkollathakkatha?,それはよろしいですか,Sore wa yoroshii desu ka?
How may I address you?,मैं आपको किस नाम से पुकारूँ?,Main aapko kis naam se pukaru?,मी तुम्हाला कोणत्या नावाने हाक मारू?,Mi tumhala kontya naavane haak maru?,நான் உங்களை எப்படி அழைக்க வேண்டும்?,Naan ungalai eppadi azhaikka vendum?,何とお呼びすればよろしいですか,Nan to oyobi sureba yoroshii desu ka?
I will do my best,मैं अपनी पूरी कोशिश करूँगा,Main apni poori koshish karunga,मी माझे सर्वोत्तम प्रयत्न करेन,Mi majhe sarvottam prayatn karen,என்னால் முடிந்ததைச் செய்கிறேன்,Ennaal mudindhadhais seikiren,最善を尽くします,Saizen o tsukushimasu
Please accept my apologies,कृपा करके मेरी क्षमा स्वीकार करें,Kripa karke meri kshama sweekar karen,कृपया माझी माफी स्वीकारा,Krupaya majhi maafi swikara,என் மன்னிப்பை ஏற்றுக் கொள்ளுங்கள்,En mannippai yetrukkollungal,私の謝罪を受け入れてください,Watashi no shazai o ukeirete kudasai
I'm glad to meet you,आपसे मिलकर मुझे खुशी हुई,Aapse milkar mujhe khushi hui,तुम्हाला भेटून मला आनंद झाला,Tumhala bhetun mala anand zala,உங்களைச் சந்திப்பதில் மகிழ்ச்சி,Ungalai santhippathil magizhchi,お会いできて光栄です,O-ai dekite kōei desu
How do you do?,आप कैसे हैं?,Aap kaise hain?,तुम्ही कसे आहात?,Tumhi kase aahat?,நீங்கள் எப்படி இருக்கிறீர்கள்?,Neengal eppadi irukkireergal?,お元気ですか,Ogenki desu ka?
May I ask a question?,क्या मैं एक सवाल पूछ सकता हूँ?,Kya main ek sawal pooch sakta hoon?,मी एक प्रश्न विचारू शकतो का?,Mi ek prashna vicharu shakto ka?,நான் ஒரு கேள்வி கேட்கலாமா?,Naan oru kelvi kekkalama?,質問してもよろしいですか,Shitsumon shite mo yoroshii desu ka?
With your permission,आपकी अनुमति से,Aapki anumati se,तुमच्या परवानगीने,Tumchya parvangine,உங்கள் அனுமதியுடன்,Ungal anumathiyudan,お許しをいただいて,O-yurushi o itadaite
It would be an honor,यह एक सम्मान की बात होगी,Yah ek samman ki baat hogi,हा एक सन्मान असेल,Ha ek sanman asel,அது ஒரு மரியாதை இருக்கும்,Adhu oru mariyathai irukkum,光栄に存じます,Kōei ni zonjimasu
My sincere apologies,मेरी सच्ची माफ़ी,Meri sachchi maafi,माझी मनापासून माफी,Majhi manapasun maafi,எனது உண்மையான மன்னிப்பு,Enathu unmaiyana mannippu,心からお詫び申し上げます,Kokoro kara owabi mōshiagemasu
Thank you for your time,आपके समय के लिए धन्यवाद,Aapke samay ke liye dhanyavaad,तुमच्या वेळेसाठी धन्यवाद,Tumchya velesathi dhanyavad,உங்கள் நேரத்திற்கு நன்றி,Ungal nerathirku nandri,お時間をいただきありがとうございます,O-jikan o itadaki arigatō gozaimasu
Please be seated,कृपया बैठिए,Kripya baithiye,कृपया बसा,Krupaya basa,தயவுசெய்து உட்காருங்கள்,Thayavuseithu utkaarangal,どうぞおかけください,Dōzo okake kudasai
Is there anything I can do?,क्या मैं कुछ कर सकता हूँ?,Kya main kuch kar sakta hoon?,मी काही करू शकतो का?,Mi kahi karu shakto ka?,நான் ஏதாவது செய்யலாமா?,Naan edhavadhu seyyalama?,何かできることはありますか,Nanika dekiru koto wa arimasu ka?
I appreciate your help,मैं आपकी मदद की सराहना करता हूँ,Main aapki madad ki sarahana karta hoon,मी तुमच्या मदतीची प्रशंसा करतो,Mi tumchya madatichi prashansa karto,உங்கள் உதவிக்கு நான் நன்றியுள்ளவனாக இருப்பேன்,Ungal udhavikku naan nandriyullavanaaga iruppen,ご協力に感謝します,Go-kyōryoku ni kansha shimasu
I am at your service,मैं आपकी सेवा में हूँ,Main aapki seva mein hoon,मी तुमच्या सेवेत आहे,Mi tumchya sevet aahe,நான் உங்கள் சேவையில் இருக்கிறேன்,Naan ungal sevvaiyil irukkiren,お手伝いさせていただきます,O-tetsudai sasete itadakimasu
Could you tell me?,क्या आप मुझे बता सकते हैं?,Kya aap mujhe bata sakte hain?,तुम्ही मला सांगू शकता का?,Tumhi mala sangu shaktaa ka?,நீங்கள் எனக்குச் சொல்ல முடியுமா?,Neengal enakku sollal mudiyuma?,教えていただけますか,Oshiete itadakemasu ka?
May I have your name?,क्या मैं आपका नाम जान सकता हूँ?,Kya main aapka naam jaan sakta hoon?,मी तुमचे नाव जाणून घेऊ शकतो का?,Mi tumche naav zaanun gheu shakto ka?,உங்கள் பெயர் என்ன என்பதை நான் அறியலாமா?,Ungal peyar enbadhai naan ariyalam ma?,お名前を伺ってもよろしいですか,O-namae o ukagatte mo yoroshii desu ka?
It was a pleasure working with you,आपके साथ काम करके खुशी हुई,Aapke saath kaam karke khushi hui,तुमच्यासोबत काम करून आनंद झाला,Tumchyasobat kaam karun anand zala,உங்களுடன் பணிபுரிந்தது மகிழ்ச்சி,Ungaludan pani purindhadhu magizhchi,ご一緒にお仕事できて光栄でした,Go-issho ni oshigoto dekite kōei deshita
Please accept this,कृपया इसे स्वीकार करें,Kripya ise sweekar karen,कृपया हे स्वीकारा,Krupaya he svikara,தயவுசெய்து இதை ஏற்றுக் கொள்ளுங்கள்,Thayavuseithu idhai yetruk kolungal,どうぞお受け取りください,Dōzo o-uketori kudasai
I'm honored,मैं सम्मानित हूँ,Main sammanit hoon,मी सन्मानित आहे,Mi sammanit aahe,நான் பெருமைப்படுகிறேன்,Naan perumai padugiren,光栄です,Kōei desu
I would like to propose...,मैं प्रस्ताव करना चाहूँगा...,Main prastav karna chahunga...,मी प्रस्ताव देऊ इच्छितो...,Mi prastav deu ichchito...,நான் ஒரு யோசனையை முன்வைக்க விரும்புகிறேன்...,Naan oru yosanaiyai munvaikka virumbugiren...,提案させていただけませんか,Teian sasete itadakemasen ka?
I am at your disposal,मैं आपके लिए उपलब्ध हूँ,Main aapke liye upalabdh hoon,मी तुमच्या सेवेसाठी उपलब्ध आहे,Mi tumchya sevesathi uplabdh aahe,நான் உங்கள் வசதிக்கு இருக்கிறேன்,Naan ungal vasathikku irukkiren,いつでもお申し付けください,Itsudemo omōshitsuke kudasai
